treatment, sampleId,NSC,RSC, SSD, NRF, FRiP, PeakWidthSD, ReadsPerPeakSD, FractionLongPromoter20000to2000, FractionPromoter2000to500, FractionPromoter500, FractionAllTranscripts, FractionAllIntrons
Control,ENCFF005BXI,1.04929322094868,1.32117610441639,0.176667470035689,0.029020657668826,0.015796392494807,18.4738266201709,82.7712467021584,0.258204524951422,0.03186421867855,0.016211332496093,0.579938022851147,0.552238981234857
Control,ENCFF038NOW,1.02876672468574,0.570612882296699,0.142712058764512,0.037044374259886,0.001468607914829,30.0571891275221,100.194163304903,0.24181446407233,0.025923389625523,0.009074679646353,0.562292863346345,0.539839635112279
Control,ENCFF045BQI,1.01534645782984,0.230880561226801,0.462686824349572,0.050609509251286,0.001090405736432,0,275.877588460751,0.213865292298807,0.021885938993649,0.007207345728845,0.529521455956977,0.513082782501295
Control,ENCFF061DUL,1.0538524868594,0.80537597700129,0.254442012343957,0.0272412601541,0.009910250833413,62.0526350643357,128.706668784281,0.29576380639287,0.039669034821683,0.020302274805826,0.620146858988683,0.584035800255997
Control,ENCFF061RFH,1.02395816402143,0.372762988714221,0.255296909419387,0.027912196474513,0.009469320402387,62.0526350643357,118.514332835653,0.303835498935072,0.041012811301697,0.022358133407327,0.627902686459002,0.590984231096855
Control,ENCFF188YBS,1.03000109849759,0.894637229023615,0.249673746106578,0.02822787511263,0.003816436221074,40.9689484321709,34.6862107449013,0.241523791716073,0.028595912119113,0.013355332158336,0.583770628744883,0.556501800572224
Control,ENCFF211TQG,1.35864528089195,2.30113918928175,0.245976271357885,0.163410522537386,0.109662311533353,97.0379642862409,57.1266519449454,0.281669680025262,0.032721169559724,0.015463257007278,0.576753828183962,0.546930706441253
Control,ENCFF221QCF,1.12758806174765,1.98598719714689,0.323243196130598,0.153283517815983,0.045997880751628,99.3437941751508,37.6109415090822,0.257747511284167,0.035771741945025,0.023744636900075,0.597922035266028,0.563983877527805
Control,ENCFF226SIV,1.01844875782657,0.210108058200276,0.495961571236475,0.018190609232431,0.001332388662082,0,306.171834855049,0.217707998123252,0.02310482077022,0.008039557448477,0.524845392205209,0.507449645741752
Control,ENCFF248TCM,1.10005194066746,1.27375859481455,0.245523278313086,0.182860073598593,0.027433708378103,73.2163489455006,41.6301658564013,0.228163500776627,0.024350201533211,0.007813308986043,0.567805417457675,0.54801052064602
Control,ENCFF280WMP,1.16341197193748,0.887369117599668,0.134366043867751,0.033944445729146,0.010001680018121,45.5242111091127,86.3679490942911,0.265032749208957,0.032417663092008,0.016300912141182,0.579799885602746,0.551752498504561
Control,ENCFF337IBI,3.75618337382369,1.44234071831607,0.498198974562767,0.181697701339344,0.214267616385215,41.712873552561,81.5848210973106,0.301721871163405,0.041327498652011,0.038593574186301,0.596554793347371,0.553692146194066
Control,ENCFF369TPH,1.02299683812132,0.388020649235924,0.158905936759591,0.040891789805258,0.001307898799374,30.0571891275221,92.068406994821,0.226484576852921,0.022846281290918,0.007400617209302,0.549048726185335,0.529007202745788
Control,ENCFF506MFX,1.68706570133,1.23503117438379,0.31684354635644,0.112504668492973,0.080613046582928,4.38071650475864,31.5287870879945,0.257220723444252,0.030131780739482,0.017120153517281,0.561493544082535,0.534295315878582
Control,ENCFF534VEA,1.08367260694227,0.772299315878652,0.174726300448665,0.009186581190068,0.008110080766551,75.4760833775707,21.275246838066,0.291961295424669,0.034736592190449,0.017904235528319,0.594609028609912,0.558637190875584
Control,ENCFF559SXA,1.04808075170464,1.02053460522398,0.728676186489809,0.158175053495283,0.024503313739254,150.852625759262,601.049825321266,0.240852135965068,0.028302792897002,0.014550248103243,0.574159149624553,0.550363157488417
Control,ENCFF568ZAY,1.04895732410839,0.932468521288118,0.19754035963968,0.21671721005848,0.007043653324518,407.164843073646,725.849956424913,0.264718492597606,0.029128219808301,0.009243922238815,0.5954400309571,0.568762894875563
Control,ENCFF581CGZ,1.13103016787817,1.19496260495403,0.158841385994885,0.05824319438026,0.018249949448702,26.3355438443891,26.7772825316797,0.266761618699102,0.034602316757597,0.015293676041962,0.58516022433977,0.559569723738554
Control,ENCFF587ARB,1.08995693225515,0.90827257460307,0.385518444993888,0.194530545261011,0.018678422501135,407.164843073646,1529.42834013075,0.244139010502423,0.028201819090368,0.011464930318064,0.582984578596909,0.547660752978975
Control,ENCFF616NXH,1.05251056205402,0.905692258432548,0.444387990792099,0.20954103725713,0.005249635273167,34.516635213905,246.317985590555,0.269461408144032,0.032902428369931,0.014089756960358,0.584213550566186,0.556819252293189
Control,ENCFF629GVZ,1.05088082434843,0.758208695357467,0.567928934395278,0.223167925680177,0.005420040780756,34.516635213905,353.457270113282,0.265424964838418,0.031989510146489,0.013535431284063,0.579498093280177,0.553053038226579
Control,ENCFF693OEL,1.12067975599513,0.934630323456034,0.183989956802146,0.014654945865842,0.010413494120166,45.5242111091127,149.570997728916,0.276022074832359,0.034518988289061,0.01837002319911,0.595274986903728,0.564806096858461
Control,ENCFF693TLQ,1.0240323392962,0.496101350496347,0.176648168151334,0.075421686763051,0.002697531378151,15.5056371798621,24.2079796849095,0.226093873105367,0.023540504267581,0.010319960712275,0.552754017149249,0.530295965175407
Control,ENCFF701DUO,1.05874987482831,1.02863510608947,0.163419965121671,0.059138180266652,0.00813096790678,75.4760833775707,32.4246283935216,0.288176090537349,0.035550027970019,0.019178559214943,0.596849253367606,0.559456175808332
Control,ENCFF701IFH,1.07436617223454,0.68252776886463,0.128425707009077,0.009403077643845,0.015804377098261,33.190614693254,17.3315720646746,0.287179956801535,0.03646943172344,0.022310275930837,0.594750073431086,0.558771868922131
Control,ENCFF706HJC,1.05686386890463,0.668904223701162,0.174494422169497,0.023205828896245,0.0236847134233,124.220614152312,45.3336800939511,0.27062130113051,0.038111929808586,0.024011506036389,0.592498826803195,0.558116292249826
Control,ENCFF743AGP,1.04952388053272,0.539083376729288,0.224092284570694,0.083807228234156,0.005028621431525,15.5056371798621,50.3987559553014,0.233980507486093,0.025550156139064,0.013899278112834,0.555864150724423,0.532150347485
Control,ENCFF751NUI,1.03956076475075,1.08424505260918,0.216559592595053,0.058970578498018,0.016067355295651,18.4738266201709,42.6140288901198,0.239918204078759,0.028707644824557,0.013211838440351,0.572013133648308,0.549418744042827
Control,ENCFF757VQN,1.05960851298085,1.33661318274514,0.185907506042257,0.174759514950314,0.025722141366173,73.2163489455006,52.6822513572186,0.223076481045112,0.024079568079233,0.00774121003021,0.581296036787104,0.562117735160843
Control,ENCFF774XWQ,1.05109633299237,0.480931038220007,0.139596896475923,0.025813568530462,0.00981994909449,26.3355438443891,14.470349962822,0.25910972146058,0.031226114204298,0.014065041408403,0.578886503428875,0.553151251066888
Control,ENCFF817LMJ,1.13484841136204,1.34099719707237,0.803319025684228,0.200046724905789,0.027078959898465,150.852625759262,271.478993675864,0.246300890250006,0.030635937367021,0.019831377340886,0.584869026430576,0.556024618277991
Control,ENCFF822ESO,1.66951040839907,2.18246836298717,0.29572889072205,0.156673683238558,0.16464759318507,63.527926345318,54.5682798265864,0.23992892287229,0.027532838325928,0.013818568012526,0.570410973999772,0.548245041702933
Control,ENCFF826ECD,1.02915234182488,0.91528124102816,0.252679853722141,0.034701790209034,0.003612651375106,40.9689484321709,34.358780342348,0.241393345634674,0.028428970379488,0.013044717766657,0.583043608861554,0.556167955361684
Control,ENCFF877JAH,1.13993984686641,0.767538617133094,0.128658514378734,0.010592711641744,0.024711017113907,33.190614693254,23.4612930085725,0.274382588764737,0.03784626461552,0.027659352596588,0.595160587969278,0.558892665894963
Control,ENCFF880WAM,1.37375352274532,2.0991274501057,0.20660369797277,0.177093091760971,0.090993280407374,76.5318295843857,35.4192877167938,0.253420814414579,0.028715277577265,0.014569566940599,0.556073366444369,0.529765991014694
Control,ENCFF900RPG,1.05247346488639,0.708382912539666,0.25006762549639,0.238613624079921,0.017509792642385,124.220614152312,29.4987470663962,0.269248986426424,0.035744861184299,0.019942758090776,0.594532695684643,0.563530340897496
Control,ENCFF900VKF,1.01448792978498,0.432439258536325,0.415497337407365,0.023414871261443,0.014917680055987,1447.12301700232,307.915886301645,0.242637324504315,0.032540638439928,0.013295766090831,0.588821005054402,0.564842241343936
Control,ENCFF919IIQ,1.03508076862988,0.764435685218674,0.357217975174453,0.092753044240055,0.030571623444266,1447.12301700232,680.18391474202,0.237850838401833,0.033292457337836,0.013634439726303,0.566778545464358,0.542908687453679
Control,ENCFF921UWK,1.12146647583759,1.89614220081164,0.551259027719486,0.243268396859436,0.042339098321542,99.3437941751508,80.7306830798915,0.247223714772591,0.033049245221218,0.019712774903496,0.589770300082659,0.560743165307394
ENCODE,ENCFF005BXI,1.04918880905514,1.33245356082745,0.171172129318942,0.028919386442741,0.015807418803222,18.4738266201709,82.7712467021584,0.258377946023571,0.031886460763421,0.016222648443831,0.580340095766492,0.552621719471367
ENCODE,ENCFF038NOW,1.02914940306196,0.533672353132421,0.139097490014013,0.036878360439431,0.001470122328067,30.0571891275221,100.194163304903,0.241982660025929,0.025950121555823,0.00908403736181,0.562797718749521,0.540321336979563
ENCODE,ENCFF045BQI,1.01493521029543,0.23068312047992,0.381659304407448,0.050395465256938,0.001094093027294,0,275.877588460751,0.214553341063871,0.021959947979629,0.007231717922753,0.531299276152793,0.514805014058503
ENCODE,ENCFF061DUL,1.0535444169351,0.812115979042048,0.251592944019914,0.027110646284836,0.009916648635652,62.0526350643357,128.706668784281,0.295950153285918,0.039694644127042,0.020315381430611,0.62054486028596,0.584410489185475
ENCODE,ENCFF061RFH,1.02343661191816,0.36874312466007,0.252841231085861,0.027799977737401,0.009474586259091,62.0526350643357,118.514332835653,0.304000880868227,0.041035618385856,0.022370566688881,0.628250087750575,0.59131110216161
ENCODE,ENCFF188YBS,1.02983806224441,0.911113861874126,0.152014931352167,0.028171379973821,0.003828492629913,40.9689484321709,34.6862107449013,0.242281132884506,0.028686248754566,0.013397522656318,0.585609813856883,0.558254841406693
ENCODE,ENCFF211TQG,1.3957197852984,2.62157136596101,0.239835663295942,0.163391796352426,0.109819465928607,97.0379642862409,57.1266519449454,0.282064085022477,0.032768061473111,0.015485417025334,0.577575757106465,0.547709896572311
