treatment, sampleId, SSD, NRF, FRiP, PeakWidthSD, ReadsPerPeakSD, FractionLongPromoter20000to2000, FractionPromoter2000to500, FractionPromoter500, FractionAllTranscripts, FractionAllIntrons
control,ENCFF280WMP,0.134366043867751,0.033944445729146,0.0100016800181208,45.5242111091127,86.3679490942911,0.265032749208957,0.0324176630920079,0.0163009121411817,0.579799885602746,0.551752498504561
PeakPass,ENCFF280WMP,0.126071439786933,0.0336824372692131,0.0104324203723985,45.5242111091127,86.3712053448726,0.272482320117965,0.0334838906132926,0.0168846052940445,0.603358868720108,0.574336318558371
ENCODE,ENCFF280WMP,0.133302822795961,0.0338101847430321,0.0100101848824556,45.5242111091127,86.3679490942911,0.265245709417844,0.0324452292435093,0.0163147735170748,0.580285804114246,0.552214567100669
ENCODE,ENCFF877JAH,0.127145885203166,0.0104359168562776,0.0247308657638554,33.190614693254,23.4612930085725,0.274595429388115,0.0378766639007753,0.0276815694403932,0.595634968209031,0.559337914622797
control,ENCFF877JAH,0.128658514378734,0.0105927116417435,0.0247110171139074,33.190614693254,23.4612930085725,0.274382588764737,0.0378462646155201,0.0276593525965883,0.595160587969278,0.558892665894963
PeakPass,ENCFF693OEL,0.178531533268752,0.0140327767440041,0.0107575300507436,45.5242111091127,149.575488606417,0.281501186204689,0.0353449884256814,0.0188631047407276,0.613540132022312,0.582287718364391
control,ENCFF693OEL,0.183989956802146,0.014654945865842,0.0104134941201655,45.5242111091127,149.570997728916,0.276022074832359,0.0345189882890613,0.0183700231991103,0.595274986903728,0.564806096858461
ENCODE,ENCFF693OEL,0.182917854054313,0.0145403062230703,0.0104198910469653,45.5242111091127,149.570997728916,0.276185102612026,0.0345401930296353,0.0183813077585828,0.59563674136998,0.56514913452735
ENCODE,ENCFF900RPG,0.20062201021991,0.23888660731212,0.0175437357568021,124.220614152312,29.4987470663962,0.269753560893322,0.0358141533762621,0.019981417561707,0.595675997375422,0.56461354384826
PeakPass,ENCFF900RPG,0.183146977588683,0.242796988952274,0.0181479098284891,124.220614152312,29.5020692448422,0.275334038474573,0.0367127981791196,0.0205470586866718,0.614713483386247,0.582796043201814
control,ENCFF900RPG,0.25006762549639,0.238613624079921,0.0175097926423849,124.220614152312,29.4987470663962,0.269248986426424,0.0357448611842992,0.0199427580907757,0.594532695684643,0.563530340897496
PeakPass,ENCFF877JAH,0.120776662431716,0.00967569258773437,0.0256141737813224,33.190614693254,23.4379167801962,0.280817835896653,0.0389256299152764,0.028552876095083,0.615744452047036,0.578371990227228
control,ENCFF701IFH,0.128425707009077,0.00940307764384467,0.0158043770982606,33.190614693254,17.3315720646746,0.287179956801535,0.0364694317234402,0.022310275930837,0.594750073431086,0.558771868922131
ENCODE,ENCFF701IFH,0.12762170925857,0.0092995133999673,0.0158130486492139,33.190614693254,17.3315720646746,0.287327235409676,0.0364894417835306,0.0223225171405546,0.595071172413106,0.559073227370775
control,ENCFF774XWQ,0.139596896475923,0.0258135685304615,0.00981994909449049,26.3355438443891,14.470349962822,0.25910972146058,0.0312261142042984,0.0140650414084027,0.578886503428875,0.553151251066888
PeakPass,ENCFF701IFH,0.121403744003588,0.00854967052709221,0.0163607065699978,33.190614693254,17.3316595619498,0.293383262973895,0.0374066772660472,0.0229586705782132,0.614364151010671,0.577412751647579
control,ENCFF581CGZ,0.158841385994885,0.0582431943802597,0.0182499494487023,26.3355438443891,26.7772825316797,0.266761618699102,0.0346023167575969,0.0152936760419619,0.58516022433977,0.559569723738554
ENCODE,ENCFF774XWQ,0.132882165663225,0.0256432209302187,0.00983093797257598,26.3355438443891,14.470349962822,0.25938949229462,0.0312610573551002,0.0140807806982725,0.579528782937024,0.553764731897163
PeakPass,ENCFF774XWQ,0.1234805412966,0.024940944843641,0.0102326648629371,26.3355438443891,14.470349962822,0.265942684217378,0.0322156851696441,0.0145424150533991,0.601583524295856,0.574988522818262
PeakPass,ENCFF706HJC,0.144973938639048,0.0213885686300205,0.0247154202454194,124.220614152312,45.3376036228694,0.278729333282518,0.0394400138099111,0.0249311695360208,0.61685326826751,0.581200708185939
ENCODE,ENCFF581CGZ,0.157728131915164,0.0581524401138504,0.0182614725621917,26.3355438443891,26.7772825316797,0.266923439368051,0.0346241648412926,0.0153033325489674,0.585524760344547,0.559918101767469
control,ENCFF706HJC,0.174494422169497,0.0232058288962454,0.0236847134233004,124.220614152312,45.3336800939511,0.27062130113051,0.038111929808586,0.0240115060363894,0.592498826803195,0.558116292249826
PeakPass,ENCFF581CGZ,0.153201180683786,0.0589631127850824,0.019007481966536,26.3355438443891,26.7772825316797,0.274283763992024,0.0357436613204195,0.0158301792850414,0.607984804331037,0.581493610537293
ENCODE,ENCFF706HJC,0.169096451798437,0.0230252428442818,0.0237079635914058,124.220614152312,45.3336800939511,0.270870462894204,0.0381493424957921,0.0240350770014179,0.593069979873281,0.55865369360445
PeakPass,ENCFF061DUL,0.236563787865613,0.0260913849629905,0.0100992846716166,62.0526350643357,128.265830879892,0.299798493054365,0.0403150042112417,0.020670213618081,0.633658337971896,0.596946225412148
control,ENCFF061DUL,0.254442012343957,0.0272412601540995,0.00991025083341299,62.0526350643357,128.706668784281,0.29576380639287,0.0396690348216825,0.020302274805826,0.620146858988683,0.584035800255997
PeakPass,ENCFF061RFH,0.240717020196637,0.0269369142386643,0.00960333267724341,62.0526350643357,116.535257876751,0.307163269019103,0.0415679927572591,0.0227047756208323,0.639774630208286,0.602351513718308
