Algorithm,Sensitivity,Specificity,Precision,FMeasure,NormalPrecision,NormalFMeasure,AUCROC
rpart,0.939,0.921,0.0406,0.0778,1,0.959,0.937,0.485
rpart,0.91,0.946,0.0471,0.0896,1,0.972,0.957,0.465
rpart,0.905,0.953,0.0703,0.13,1,0.976,0.935,0.051
rpart,0.893,0.969,0.124,0.218,0.999,0.984,0.942,0.503
svmLinear,0.934,0.947,0.0656,0.123,1,0.973,0.977,0.187
svmLinear,0.93,0.942,0.0453,0.0863,1,0.97,0.977,0.184
svmLinear,0.958,0.94,0.054,0.102,1,0.969,0.985,0.242
svmLinear,0.951,0.938,0.0714,0.133,1,0.968,0.977,0.245
svmRadial,0.919,0.958,0.0792,0.146,1,0.978,0.983,0.549
svmRadial,0.871,0.951,0.0588,0.11,1,0.974,0.98,0.409
svmRadial,0.882,0.952,0.0511,0.0965,1,0.975,0.981,0.398
svmRadial,0.809,0.955,0.0825,0.15,0.999,0.977,0.976,0.405
rpart,0.909,0.96,0.0669,0.125,1,0.979,0.964,0.468
randomForest,0.937,0.962,0.0892,0.163,1,0.981,0.989,0.657
randomForest,0.97,0.952,0.067,0.125,1,0.975,0.993,0.663
randomForest,0.936,0.963,0.0695,0.129,1,0.981,0.99,0.619
randomForest,0.947,0.969,0.131,0.23,1,0.984,0.992,0.684
rpart,0.826,0.967,0.0409,0.0779,1,0.983,0.948,0.434
svmLinear,0.891,0.961,0.0676,0.126,1,0.98,0.974,0.158
randomForest,0.949,0.969,0.0896,0.164,1,0.984,0.99,0.645
svmLinear,0.858,0.955,0.0319,0.0615,1,0.977,0.97,0.0873
svmRadial,0.851,0.973,0.0922,0.166,1,0.986,0.977,0.518
rpart,0.936,0.94,0.0677,0.126,1,0.969,0.942,0.506
svmLinear,0.963,0.914,0.0497,0.0945,1,0.955,0.978,0.154
randomForest,0.902,0.969,0.0476,0.0905,1,0.984,0.986,0.469
svmRadial,0.83,0.969,0.0441,0.0837,1,0.984,0.976,0.403
randomForest,0.954,0.959,0.0978,0.177,1,0.979,0.992,0.653
svmRadial,0.821,0.945,0.0648,0.12,0.999,0.971,0.976,0.367
rpart,0.935,0.93,0.0425,0.0812,1,0.964,0.937,0.488
svmLinear,0.94,0.937,0.0472,0.0899,1,0.967,0.982,0.232
svmRadial,0.784,0.956,0.0565,0.105,0.999,0.977,0.975,0.328
randomForest,0.959,0.957,0.0693,0.129,1,0.978,0.991,0.639
svmLinear,0.888,0.955,0.0536,0.101,1,0.977,0.974,0.139
naiveBayes,0.954,0.91,0.0364,0.0701,1,0.953,0.975,0.127
rpart,0.876,0.97,0.0779,0.143,1,0.985,0.936,0.455
randomForest,0.906,0.968,0.0744,0.138,1,0.983,0.985,0.617
naiveBayes,0.909,0.937,0.0403,0.0773,1,0.967,0.961,0.086
naiveBayes,0.907,0.932,0.0503,0.0953,1,0.965,0.953,0.0739
naiveBayes,0.929,0.906,0.0469,0.0893,1,0.95,0.951,0.086
svmRadial,0.882,0.967,0.0703,0.13,1,0.983,0.978,0.533
rpart,0.9,0.934,0.0502,0.0951,1,0.966,0.916,0.0405
svmLinear,0.964,0.929,0.0501,0.0953,1,0.963,0.98,0.178
randomForest,0.942,0.958,0.0804,0.148,1,0.978,0.99,0.675
naiveBayes,0.888,0.944,0.0479,0.091,1,0.971,0.956,0.0801
svmRadial,0.879,0.947,0.0601,0.112,1,0.972,0.976,0.349
naiveBayes,0.84,0.94,0.0236,0.0458,1,0.969,0.952,0.0551
rpart,0.932,0.956,0.056,0.106,1,0.977,0.967,0.481
svmLinear,0.886,0.953,0.0499,0.0945,1,0.976,0.972,0.154
randomForest,0.946,0.966,0.0722,0.134,1,0.983,0.989,0.656
naiveBayes,0.933,0.901,0.0422,0.0807,1,0.948,0.965,0.115
naiveBayes,0.946,0.911,0.0341,0.0658,1,0.953,0.972,0.106
