kmax,kernel,distance,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
15,triangular,0.5,0.9888,0.9557,0.9527,0.004641,0.01585,0.01490
10,triangular,0.5,0.9886,0.9565,0.9535,0.004601,0.01469,0.01566
15,epanechnikov,0.5,0.9885,0.9557,0.9533,0.004733,0.01535,0.01510
15,triangular,1.0,0.9885,0.9480,0.9555,0.004160,0.01690,0.01446
10,triangular,1.0,0.9884,0.9485,0.9557,0.004166,0.01656,0.01443
15,epanechnikov,1.0,0.9884,0.9470,0.9548,0.004102,0.01611,0.01511
10,epanechnikov,0.5,0.9883,0.9562,0.9537,0.004792,0.01501,0.01542
10,epanechnikov,1.0,0.9880,0.9478,0.9552,0.004174,0.01633,0.01435
15,triangular,2.0,0.9871,0.9452,0.9553,0.005585,0.01998,0.01450
10,triangular,2.0,0.9868,0.9457,0.9560,0.005631,0.01990,0.01429
10,epanechnikov,2.0,0.9865,0.9463,0.9545,0.005648,0.01938,0.01354
15,epanechnikov,2.0,0.9865,0.9463,0.9547,0.005617,0.01938,0.01345
15,triangular,3.0,0.9860,0.9408,0.9562,0.006524,0.02064,0.01460
 5,epanechnikov,0.5,0.9859,0.9563,0.9505,0.004896,0.01468,0.01663
 5,triangular,0.5,0.9859,0.9568,0.9498,0.004857,0.01477,0.01632
10,triangular,3.0,0.9854,0.9420,0.9562,0.006597,0.02079,0.01478
 5,epanechnikov,1.0,0.9851,0.9490,0.9523,0.005286,0.01534,0.01563
15,epanechnikov,3.0,0.9850,0.9405,0.9555,0.007318,0.01949,0.01516
 5,triangular,1.0,0.9849,0.9488,0.9508,0.005330,0.01574,0.01571
10,epanechnikov,3.0,0.9846,0.9410,0.9562,0.007366,0.01971,0.01585
 5,epanechnikov,2.0,0.9828,0.9450,0.9523,0.006647,0.01996,0.01490
 5,triangular,2.0,0.9824,0.9448,0.9505,0.006918,0.01887,0.01539
 5,epanechnikov,3.0,0.9814,0.9423,0.9547,0.007125,0.02120,0.01570
 5,triangular,3.0,0.9814,0.9417,0.9538,0.007142,0.02065,0.01563
 1,epanechnikov,0.5,0.9461,0.9528,0.9393,0.012224,0.01760,0.01685
 1,triangular,0.5,0.9461,0.9528,0.9393,0.012224,0.01760,0.01685
 1,epanechnikov,1.0,0.9436,0.9478,0.9393,0.012555,0.01633,0.01883
 1,triangular,1.0,0.9436,0.9478,0.9393,0.012555,0.01633,0.01883
 1,epanechnikov,2.0,0.9427,0.9442,0.9413,0.013054,0.01848,0.01800
 1,triangular,2.0,0.9427,0.9442,0.9413,0.013054,0.01848,0.01800
 1,epanechnikov,3.0,0.9407,0.9425,0.9390,0.014160,0.02033,0.01873
 1,triangular,3.0,0.9407,0.9425,0.9390,0.014160,0.02033,0.01873
